Constellation,Name,Bayer,Flamsteed,Variable Star,Henry Draper Number,Hipparcos Number,Right Ascension,Declination,Visual Magnitude,Absolute Magnitude,Distance,Spectral class,Notes
Cygnus,,,,,195690,101268,20h 31m 36.27s,+34° 19′ 49.8′′,6.47,3.20,147,F2,
Cygnus,,,,,200030,103596,20h 59m 24.61s,+42° 19′ 28.0′′,6.47,−0.39,767,B9,
Cygnus,X Cygni,,,X,197572,102276,20h 43m 24.20s,+35° 35′ 16.1′′,6.48,−2.68,2218,G8Ib,Cepheid variable
Cygnus,,,,,207673,107749,21h 49m 40.10s,+41° 08′ 55.7′′,6.48,−5.62,8579,A2Ib,
Cygnus,V1276 Cyg,,,V1276,186357,96988,19h 42m 49.10s,+29° 19′ 54.0′′,6.49,,266,F1III,δ Sct variable
Cygnus,,,,,191892,99294,20h 09m 22.37s,+56° 01′ 36.7′′,6.49,−1.41,1240,K0,
Cygnus,V1584 Cyg,,,V1584,193722,100250,20h 19m 56.04s,+46° 50′ 14.3′′,6.49,−1.38,1221,B9p Si,α2CVn variable
Cygnus,,,,,194668,100651,20h 24m 32.36s,+53° 33′ 06.9′′,6.49,−1.77,1462,B9.5III,
Cygnus,,,,,196134,101467,20h 33m 48.56s,+41° 46′ 22.2′′,6.50,1.56,317,K0III-IV,
Cygnus,,,,,200465,103822,21h 02m 20.96s,+39° 30′ 32.5′′,6.50,−1.68,1411,A1V comp,
Cygnus,,,,,200595,103871,21h 02m 48.62s,+45° 50′ 56.0′′,6.50,−1.59,1353,B3Vn,
Cygnus,HD 185269,,,,185269,96507,19h 37m 11.74s,+28° 29′ 59.5′′,6.67,3.29,155,G0IV,has a planet (b )
Cygnus,HD 197037,,,,197037,101948,20h 39m 33s,+42° 14′ 55′′,6.81,,108,F7V,has a planet (b )
Cygnus,CH Cygni,,,,182917,95413,19h 24m 33.07s,+50° 14′ 29.1′′,7.08,,900,M3III,Z And and SR variable
Cygnus,WR 136,,,,192163,99546,20h 12m 06.54s,+38° 21′ 17.8′′,7.48,−3.57,5279,WN6,Wolf–Rayet Star
Cygnus,KELT-9,,,,195689,101252,20h 31m 26.35s,+39° 56′ 19.8′′,7.56,1.18,615,A0,The hottest planet-bearing star with the hottest planet
Cygnus,HD 187123,,,,187123,97336,19h 46m 58.11s,+34° 25′ 10.3′′,7.86,4.46,163,G5,has two planets (b & c )
Cygnus,Chi Cygni,χ,,,187796,97629,19h 50m 33.94s,+32° 54′ 50.9′′,7.91,2.78,346,"S7,1e:","Mira variable ; *V* max = 3.62m, *V* min = 15.00m"
Cygnus,HD 191806,,,,191806,99306,20h 09m 28.3s,+52° 16′ 35′′,8.09,3.99,215,G0V,has a massive planet (b )
Cygnus,R Cygni,,,,185456,,19h 36m 49.38s,+50° 11′ 59.5′′,8.15,,,S...,Mira variable
Cygnus,RT Cyg,,,,186686,97068,19h 43m 37.90s,+48° 46′ 39.0′′,8.45,−1.85,3749,M3e,Mira variable
Cygnus,HD 332231,,,,332231,,20h 26m 57.9s,+33° 44′ 40′′,8.56,,28,F8,has a planet (b )
Cygnus,U Cyg,,,U,193680,100219,20h 19m 36.40s,+47° 53′ 38.0′′,8.77,−1.00,2938,R....,Mira variable
Cygnus,Cygnus X-1,,,,226868,98298,19h 58m 21.68s,+35° 12′ 05.8′′,8.95,−2.23,>6000,O9.7Iab,V1357 Cyg; X-ray binary one component being a black hole
Cygnus,47 Cygni,,47,,196094,,20h 33m 52.50s,+35° 13′ 07.0′′,9.40,,,K2Ib+...,component of 47 Cyg system
Cygnus,Kepler-409,,,,,,19h 34m 43.0s,+46° 51′ 10′′,9.44,,218,,has a transiting planet (b )
Cygnus,HAT-P-11,,,,,,19h 50m 50.25s,+48° 04′ 51.1′′,9.59,6.69,123,K4,has two transiting planets (b and c )
Cygnus,Kepler-68,,,,,,19h 24m 08.0s,+49° 02′ 25′′,10.1,,440,,"has three transiting planets (b , c and d )"
Cygnus,Kepler-1652,,,,,,19h 37m 27.8s,+49° 54′ 54′′,16.86,,822,M2V,has a transiting planet (b )
Cygnus,Kepler-96,,,,,,19h 48m 16.7s,+40° 31′ 30′′,10.3,,,,has a transiting planet (b )
Cygnus,Campbell's star,,,,184738,96295,19h 34m 45.24s,+30° 30′ 58.9′′,10.45,,,WC...,V1966 Cyg
Cygnus,HAT-P-7,,,,,,19h 28m 59s,+47° 58′ 10′′,10.5,,1044,F8,has a transiting planet (b )
Cygnus,HAT-P-17,,,,,,21h 38m 09s,+30° 29′ 19′′,10.54,,293.5,G0,has two planets (b & c )
Cygnus,Kepler-50,,,,,,19h 12m 24.0s,+50° 02′ 01′′,11,,,,has two transiting planets (b and c )
Cygnus,Kepler-1658,,,,,,19h 37m 26.0s,+38° 56′ 51′′,11,,,,has a transiting planet (b )
Cygnus,WASP-48,,,,,,19h 24m 39s,+55° 28′ 23′′,11.06,,,,has a transiting planet (b )
Cygnus,Kepler-449,,,,,,19h 34m 55.9s,+41° 54′ 03′′,11.41,,,,has two transiting planets (b & c )
Cygnus,Kepler-448,,,,,,19h 49m 48.9s,+41° 00′ 40′′,11.51,,1389,,has two transiting planets (b and c )
Cygnus,Kepler-22,,,,,,19h 16m 52.2s,+47° 53′ 4.2′′,11.66,,590,G5,has a transiting planet (b ) in its habitable zone
Cygnus,Kepler-450,,,,,,19h 41m 56.8s,+51° 00′ 49′′,11.68,,,,"has three transiting planets (b , c & d )"
Cygnus,KIC 8462852,,,,,,20h 06m 15.5s,+44° 27′ 24.61′′,11.71,3.74,1277,F3V,"Tabby's Star, Boyajian's Star, WTF Star"
Cygnus,**KIC 11026764**,,,,,,19h 21m 24.62539s,+48° 30′ 53.3184′′,9.71,3.6,565,G1,"nicknamed ""Gemma"" by Li *et al.* ,;[2] diameter 2.18 times the Sun; aged at 5.94 billion years;[3] weak quasi-periodic pulsations at 0.9 mHz.[2]"
Cygnus,Kepler-462,,,,,,19h 59m 17.0s,+43° 48′ 51′′,11.73,,,,has two transiting planets (b & c )
Cygnus,Kepler-145,,,,,,19h 25m 33.0s,+44° 31′ 45′′,11.9,,,,has a transiting planet (b & c )
Cygnus,Kepler-36,,,,,,19h 25m 00.0s,+49° 13′ 55′′,12,,,,has two transiting planets (b and c )
Cygnus,Kepler-78,,,,,,19h 34m 58.0s,+44° 26′ 54′′,12,,,G,has a transiting planet (b )
Cygnus,Kepler-63,,,,,,19h 16m 54.0s,+49° 32′ 54′′,12.02,,652,,has a transiting planet (b )
Cygnus,KIC 9832227,,,,,,19h 29m 15.948s,+46° 37′ 19.89′′,12.27 – 12.46,,1800,,Contact binary set to merge in 2022
Cygnus,Kepler-89,,,,,,19h 49m 20.0s,+41° 53′ 28′′,12.4,,,,"has four transiting planets (b , c , d and e )"
Cygnus,Kepler-411,,,,,,19h 10m 25.3s,+49° 31′ 24′′,12.5,,,,"has four transiting planets (b , c , d and e )"
Cygnus,Kepler-539,,,,,,19h 56m 29.0s,+41° 52′ 00′′,12.5,,,G2V,has two transiting planets (b and c )
Cygnus,Kepler-406,,,,,,19h 27m 23.5s,+44° 58′ 06′′,12.52,,,,has two transiting planets (b and c )
Cygnus,Kepler-106,,,,,,20h 03m 27.4s,+44° 20′ 15′′,12.88,,,,"has four transiting planets (b , c , d & e )"
Cygnus,Kepler-289,,,,,,19h 49m 51.7s,+42° 52′ 58′′,14.1,,2283,,"has three transiting planets (b , c & d )"
Cygnus,Kepler-56,,,,,,19h 35m 02.0s,+41° 52′ 19′′,13,,,,"has three transiting planets (b , c and d )"
Cygnus,Kepler-432,,,,,,19h 33m 08.0s,+48° 17′ 09′′,13,,2851,K2III,has two transiting planets (b and c )
Cygnus,Kepler-48,,,,,,19h 56m 33.0s,+40° 56′ 56′′,13.04,,,,"has four transiting planets (b , c , d & e )"
Cygnus,Kepler-452,,,,,,19h 44m 0.9s,+44° 16′ 39.2′′,13.426,,1400,G2V,has at least one transiting planet (Kepler-452b )
Cygnus,Kepler-113,,,,,,19h 11m 59.5s,+50° 56′ 40′′,13.46,,,,has two transiting planets (b & c )
Cygnus,Kepler-69,,,,,,19h 33m 03.0s,+44° 52′ 08′′,13.7,,,G4V,has two transiting planets (b & c )
Cygnus,KIC 11145123,,,,,,19h 41m 25.3s,+48° 45′ 15′′,13,,3910,A,δ Scuti variable; one of the slowest rotators
Cygnus,Kepler-114,,,,,,19h 36m 29.0s,+48° 20′ 58′′,13.7,,,,"has three transiting planets (b , c & d )"
Cygnus,Kepler-6,,,,,,19h 47m 20.94s,+48° 14′ 23.9′′,13.8,4.4,2522,G4,has a transiting planet (b )
Cygnus,Kepler-5,,,,,,19h 57m 37.68s,+50° 02′ 06.2′′,13.9,3.3,4167,F8,has a transiting planet (b )
Cygnus,Kepler-23,,,,,,19h 36m 52.0s,+49° 28′ 45′′,14,,,,"has three transiting planets (b , c and d )"
Cygnus,Kepler-76,,,,,,19h 36m 46.0s,+39° 37′ 08′′,14,,,,has a transiting planet (b )
Cygnus,Kepler-33,,,,,,19h 16m 19.0s,+46° 00′ 19′′,14,,,,"has five transiting planets (b , c , d , e and f )"
Cygnus,Kepler-419,,,,,,19h 41m 40.0s,+51° 11′ 05′′,14,,,,has two transiting planets (b & c )
Cygnus,Kepler-435,,,,,,19h 29m 09.0s,+43° 11′ 50′′,14,,,6751,has a transiting planet (b )
Cygnus,Kepler-307,,,,,,19h 51m 11.0s,+40° 25′ 04′′,14.1,,,,has two transiting planets (b & c )
Cygnus,Kepler-79,,,,,,20h 02m 04.1s,+44° 22′ 54′′,14.11,,,,"has four transiting planets (b , c , d & e )"
Cygnus,Kepler-11,,,,,,19h 48m 28s,+41° 54′ 33′′,14.2,,1999,G,"has six transiting planets (b , c , d , e , f & g )"
Cygnus,Kepler-74,,,,,,19h 32m 22.0s,+41° 21′ 20′′,14.23,,4338,F8V,has a transiting planet (b )
Cygnus,Kepler-39,,,,,,19h 47m 50.0s,+46° 02′ 04′′,14.3,,3914,F7IV,has a transiting planet (b )
Cygnus,Kepler-210,,,,,,19h 30m 01.0s,+43° 04′ 59′′,14.4,,,K,has two transiting planets (b & c )
Cygnus,Kepler-424,,,,,,19h 54m 30.0s,+48° 34′ 39′′,14.5,,,,has two transiting planets (b & c )
Cygnus,Kepler-41,,,,,,19h 38m 03.0s,+45° 58′ 54′′,14.5,,2381,G2V,has a transiting planets (b )
Cygnus,Kepler-433,,,,,,19h 50m 22.0s,+40° 58′ 38′′,14.5,,6099,,has a transiting planets (b )
Cygnus,Kepler-40,,,,,,19h 47m 15.0s,+47° 31′ 36′′,14.76,,8806,F5IV,has a transiting planet (b )
Cygnus,Kepler-437,,,,,,19h 49m 23.0s,+44° 01′ 37′′,14.8,,1360,,has a transiting planet (b )
Cygnus,Kepler-70,,,,,,19h 45m 25.0s,+41° 05′ 34′′,14.87,,3849,sdB,has two transiting planets (b & c )
Cygnus,Kepler-418,,,,,,19h 37m 44.0s,+38° 21′ 20′′,15,,,,has two transiting planets (b and c )
Cygnus,Kepler-85,,,,,,19h 23m 54.0s,+45° 17′ 25′′,15,,,,"has four transiting planets (b , c , d & e )"
Cygnus,Kepler-87,,,,,,19h 51m 40.0s,+46° 57′ 54′′,15,,,,has two transiting planets (b and c )
Cygnus,Kepler-51,,,,,,19h 45m 55.0s,+49° 56′ 16′′,15.0,,,,"has three transiting planets (b , c and d )"
Cygnus,Kepler-77,,,,,,19h 18m 25.9s,+44° 20′ 44′′,15.0,,1859,G5V,has a transiting planet (b )
Cygnus,Kepler-80,,,,,,19h 44m 27.0s,+39° 58′ 44′′,15.0,,,,"has six transiting planets (b , c , d , e , f and g )"
Cygnus,Kepler-61,,,,,,19h 41m 13.0s,+42° 28′ 31′′,15.0,,,K7V,has a transiting planet (b )
Cygnus,Kepler-44,,,,,,20h 00m 25.0s,+45° 45′ 44′′,15.0,,7339,G2IV,has a transiting planet (b )
Cygnus,Kepler-84,,,,,,19h 53m 00.5s,+40° 29′ 46′′,15.03,,,,"has five transiting planets (b , c , d , e & f )"
Cygnus,Kepler-58,,,,,,19h 45m 26.0s,+39° 06′ 55′′,15.3,,,,"has three transiting planets (b , c and d )"
Cygnus,Kepler-66,,,,,,19h 35m 56.0s,+46° 41′ 16′′,15.3,,3611,GOV,has a transiting planet (b )
Cygnus,Kepler-46,,,,,,19h 17m 05.0s,+42° 36′ 15′′,15.3,,2795,,"has three transiting planets (b , c & d )"
Cygnus,Kepler-71,,,,,,19h 39m 27.7s,+46° 17′ 09′′,15.39,,,,has a transiting planet (b )
Cygnus,Kepler-49,,,,,,19h 29m 11.0s,+40° 35′ 30′′,15.5,,,,"has four transiting planets (b , c , d and e )"
Cygnus,Kepler-57,,,,,,19h 34m 34.0s,+44° 39′ 25′′,15.5,,,,has two transiting planets (b and c )
Cygnus,Kepler-31,,,,,,19h 36m 06.0s,+45° 51′ 11′′,15.5,,,,"has three transiting planets (b , c and d )"
Cygnus,Kepler-29,,,,,,19h 53m 24.0s,+47° 29′ 28′′,15.5,,,,has two transiting planets (b and c )
Cygnus,Kepler-81,,,,,,19h 34m 32.9s,+42° 49′ 30′′,15.56,,,,"has three transiting planets (b , c & d )"
Cygnus,Kepler-186,,,,,,19h 54m 36.651s,+43° 57′ 18.06′′,~15.65,,492+/-59,M1V,"has five transiting planets (b , c , d , e and f )"
Cygnus,Kepler-305,,,,,,19h 56m 54.0s,+40° 20′ 35′′,15.8,,,,has two transiting planets (b & c )
Cygnus,Kepler-32,,,,,,19h 51m 22s,+46° 34′ 27′′,16,,,,"has five transiting planets (b , c , d , e and f )"
Cygnus,Kepler-1520,,,,,,19h 23m 52.0s,+51° 30′ 17′′,16,,1533,K4V,has a transiting planets (b )
Cygnus,Kepler-42,,,,,,19h 28m 53.0s,+44° 37′ 10′′,16.12,,126,,"has three transiting planets (c , b and d )"
Cygnus,Kepler-443,,,,,,19h 14m 27.0s,+49° 58′ 07′′,16.2,,2541,,has a transiting planet (b )
Cygnus,Kepler-54,,,,,,19h 39m 06.0s,+43° 03′ 23′′,16.3,,,,"has three transiting planets (b , c and d )"
Cygnus,Kepler-436,,,,,,20h 06m 53.0s,+44° 24′ 43′′,16.3,,2016,,has two transiting planets (b and c )
Cygnus,Kepler-67,,,,,,19h 36m 37.0s,+46° 09′ 59′′,16.4,,3611,G9V,has a transiting planet (b )
Cygnus,Kepler-45,,,,,,19h 31m 30.0s,+41° 03′ 51′′,16.88,,1086,M,has a transiting planet (b )
Cygnus,V1500 Cygni,,,V1500,,,21h 11m 36.61s,+48° 09′ 01.9′′,17.1,,,,Nova Cygni 1975; *V* max = 2.0m
Cygnus,Kepler-445,,,,,,19h 54m 57.0s,+46° 29′ 55′′,18,,294,,"has three transiting planet (b , c & d )"
Cygnus,V476 Cygni,,,V476,,,19h 58m 24.57s,+53° 37′ 07.1′′,,,200,,Nova Cygni 1920; *V* max = 2.0m
Cygnus,V1668 Cygni,,,V1668,,,21h 42m 35.22s,+44° 01′ 54.9′′,,,,,Nova Cygni 1978; *V* max = 6.0m
Cygnus,AFGL 2591,,,,,,20h 29m 24.9s,+40° 11′ 21′′,,,3261.6,,associated Rfn Nebula
Cygnus,PSR B2016+28,,,,,,20h 18m 03.92s,+29° 39′ 55.2′′,,,,,pulsar
Cygnus,V1974 Cygni,,,V1974,,,20h 30m 31.61s,+52° 37′ 51.3′′,,,,,Nova Cygni 1992; *V* max = 4.5m
Cygnus,Kepler-47,,,,,,19h 41m 11.5s,+46° 55′ 12′′,,,,,"has three transiting planets (b , d and c )."
Delphinus,Beta Delphini,β,6,,196524,101769,20h 37m 32.87s,+14° 35′ 42.7′′,3.64,1.26,97,F5IV,"Rotanev, Rotanen, Venator; spectroscopic binary"
Delphinus,Alpha Delphini,α,9,,196867,101958,20h 39m 38.25s,+15° 54′ 43.4′′,3.77,−0.57,241,B9V,"Sualocin, Scalovin, Svalocin, Nicolaus; binary star ; suspected variable , *V* max = 3.77m, *V* min = 3.80m"
Delphinus,Epsilon Delphini,ε,2,,195810,101421,20h 33m 12.76s,+11° 18′ 12.0′′,4.03,−1.18,359,B6III,"Aldulfin, Deneb Dulfim, Deneb, Al Dhanab al Dulfim, Dzaneb al Delphin, Cauda Delphini;[1] suspected variable, *V* max = 3.95m, *V* min = 4.05m"
Delphinus,Gamma Delphini,γ2,12,,197964,102532,20h 46m 39.52s,+16° 07′ 29.2′′,4.27,1.81,101,K1IV,binary star with γ1 Del
Delphinus,Delta Delphini,δ,11,,197461,102281,20h 43m 27.55s,+15° 04′ 28.9′′,4.43,0.45,203,A7IIIp d Del,"δ Sct variable , *V* max = 4.38m, *V* min = 4.49m, *P* = 0.1567924 d"
Delphinus,Zeta Delphini,ζ,4,,196180,101589,20h 35m 18.51s,+14° 40′ 27.1′′,4.64,0.43,227,A3V,"suspected variable, *V* max = 4.64m, *V* min = 4.70m"
Delphinus,Rho Aquilae,ρ,67,,192425,99742,20h 14m 16.59s,+15° 11′ 50.9′′,4.94,1.58,153,A2V,Tso Ke; recently moved into Delphinus due to proper motion
Delphinus,Kappa Delphini,κ,7,,196755,101916,20h 39m 07.59s,+10° 05′ 10.1′′,5.07,2.68,98,G5IV+...,
Delphinus,Gamma Delphini,γ1,12,,197963,102531,20h 46m 38.87s,+16° 07′ 28.6′′,5.15,2.65,103,A2Ia+...,binary star with γ2 Del
Delphinus,17 Delphini,,17,,199253,103294,20h 55m 36.68s,+13° 43′ 17.6′′,5.19,−0.62,474,K0III,"suspected variable, *V* max = 5.16m, *V* min = 5.27m"
Delphinus,Eta Delphini,η,3,,195943,101483,20h 33m 57.00s,+13° 01′ 37.9′′,5.39,1.77,173,A3IVs,"suspected variable, *V* max = 5.37m, *V* min = 5.40m"
Delphinus,Iota Delphini,ι,5,,196544,101800,20h 37m 49.10s,+11° 22′ 39.7′′,5.42,1.74,177,A2V,spectroscopic binary
Delphinus,18 Delphini,,18,,199665,103527,20h 58m 25.96s,+10° 50′ 21.7′′,5.51,1.19,238,G6III:,"Musica,2][optical double , has a planet (b )"
Delphinus,16 Delphini,,16,,199254,103298,20h 55m 38.55s,+12° 34′ 06.6′′,5.54,1.61,199,A4V,double star
Delphinus,13 Delphini,,13,,198069,102633,20h 47m 48.33s,+06° 00′ 29.7′′,5.57,−0.42,513,A0V,double star
Delphinus,Theta Delphini,θ,8,,196725,101882,20h 38m 43.98s,+13° 18′ 54.5′′,5.69,−2.32,1304,K3Ib,
Delphinus,HD 200044,,,,200044,103675,21h 00m 27.70s,+19° 19′ 47.0′′,5.69,−0.62,596,M3III,"suspected variable, Δ*V* = 0.05m"
Delphinus,HD 193472,,,,193472,100256,20h 20m 00.19s,+13° 32′ 53.2′′,5.96,1.18,294,A5m,suspected variable
Delphinus,HD 196775,,,,196775,101909,20h 39m 04.97s,+15° 50′ 17.6′′,5.99,−2.01,1299,B3V,double star
Delphinus,10 Delphini,,10,,197121,102080,20h 41m 16.21s,+14° 34′ 58.4′′,6.01,0.13,488,K4III:,suspected variable
Delphinus,15 Delphini,,15,,198390,102805,20h 49m 37.74s,+12° 32′ 41.6′′,6.01,3.66,96,F5V,double star
Delphinus,1 Delphini,,1,,195325,101160,20h 30m 17.95s,+10° 53′ 45.3′′,6.03,−0.17,566,A1sh,"double star; emission-line star; suspected variable, *V* max = 5.92m, *V* min = 6.07m"
Delphinus,HD 199223,,,,199223,103301,20h 55m 40.64s,+04° 31′ 57.7′′,6.04,0.82,361,G6III-IV,double star
Delphinus,HD 194012,,,,194012,100511,20h 22m 52.32s,+14° 33′ 04.0′′,6.16,4.07,85,F8V,
Delphinus,HD 193556,,,,193556,100274,20h 20m 20.53s,+14° 34′ 09.3′′,6.17,0.04,550,G8III,
Delphinus,HD 193373,,,,193373,100208,20h 19m 29.31s,+13° 13′ 00.5′′,6.20,−0.73,791,M1III,
Delphinus,HD 194953,,,,194953,100969,20h 28m 16.77s,+02° 56′ 13.7′′,6.20,0.47,456,G8III/IV,
Delphinus,HD 198404,,,,198404,102833,20h 49m 59.07s,+05° 32′ 40.4′′,6.20,0.29,495,K0III,double star
Delphinus,HD 195479,,,,195479,101213,20h 30m 58.10s,+20° 36′ 21.6′′,6.21,1.08,346,A1m,triple star
Delphinus,EU Delphini,,,EU,196610,101810,20h 37m 54.71s,+18° 16′ 06.4′′,6.22,1.03,356,M6III,"semiregular variable , *V* max = 5.41m, *V* min = 6.72m, *P* = 58.63 d"
Delphinus,HD 194688,,,,194688,100807,20h 26m 23.15s,+17° 18′ 56.1′′,6.23,−0.75,813,G8III,
Delphinus,HD 194937,,,,194937,100953,20h 28m 07.52s,+08° 26′ 14.7′′,6.23,1.23,326,G9III,
Delphinus,LU Del,,,LU,197249,102158,20h 41m 58.16s,+17° 31′ 17.0′′,6.24,0.63,432,G8III,suspected variable
Delphinus,HD 201196,,,,201196,104281,21h 07m 33.61s,+15° 39′ 31.7′′,6.27,1.00,369,K2IV,
Delphinus,HD 194526,,,,194526,100762,20h 25m 44.10s,+10° 03′ 21.9′′,6.32,−0.83,876,K5IIIvar,
Delphinus,14 Delphini,,14,,198391,102819,20h 49m 48.24s,+07° 51′ 51.0′′,6.32,0.32,517,A1Vs,spectroscopic binary
Delphinus,HD 200430,,,,200430,103891,21h 03m 01.78s,+14° 43′ 48.1′′,6.33,−0.11,633,M1III,suspected variable
Delphinus,HD 194578,,,,194578,100781,20h 26m 01.58s,+13° 54′ 42.0′′,6.35,−0.64,815,K5,suspected variable
Delphinus,HD 198070,,,,198070,102631,20h 47m 47.86s,+03° 18′ 23.2′′,6.38,0.60,467,A0Vn,
Delphinus,HD 196885,,,,196885,101966,20h 39m 51.85s,+11° 14′ 58.0′′,6.39,3.80,108,F8IV:,binary star; has a planet (b )
Delphinus,HD 195909,,,,195909,101489,20h 33m 59.92s,+04° 53′ 55.3′′,6.42,0.02,622,K0,
Delphinus,HD 197076,,,,197076,102040,20h 40m 45.07s,+19° 56′ 05.2′′,6.43,4.82,68,G5V,optical double
Delphinus,HD 194841,,,,194841,100876,20h 27m 14.19s,+20° 28′ 35.4′′,6.44,−2.09,1655,K0,
Delphinus,HD 194616,,,,194616,100779,20h 26m 01.15s,+19° 51′ 55.6′′,6.45,−0.13,675,K0III,
Delphinus,U Del,,,U,197812,102440,20h 45m 28.23s,+18° 05′ 24.2′′,6.74,−1.16,1240,M5II-III,"semiregular variable, *V* max = 6.14m, *V* min = 7.61m, *P* = 120 d"
Delphinus,HD 195019,,,,195019,100970,20h 28m 18.64s,+18° 46′ 10.2′′,6.91,4.05,122,G3IV-V,double star; has a planet (b )
Delphinus,Gliese 795,,,OQ,196795,101955,20h 39m 37.71s,+04° 58′ 19.3′′,7.84,,54.52,K5V,"triple star; BY Dra variable , Δ*V* = 0.04m"
Delphinus,V Del,,,V,198136,,20h 47m 46.04s,+19° 20′ 06.9′′,8.1,,,M6e:,"Mira variable , *V* max = 8.1m, *V* min = 17.0m, *P* = 527 d"
Delphinus,DM Del,,,DM,,,20h 39m 37.01s,+14° 25′ 43.1′′,8.65,,,A2V,"β Lyr variable , *V* max = 8.58m, *V* min = 9.11m, *P* = 0.8446725 d"
Delphinus,LS Del,,,LS,199497,,20h 57m 10.29s,+19° 38′ 55.2′′,8.72,,256.5,G5,"W UMa variable , *V* max = 8.61m, *V* min = 8.76m, *P* = 0.363842 d"
Delphinus,MR Del,,,MR,195434,101236,20h 31m 13.46s,+05° 13′ 08.5′′,8.77,,158.3,K0,"Algol and BY Dra variable, *V* max = 8.71m, *V* min = 9.01m, *P* = 0.521692 d"
Delphinus,TX Del,,,TX,,102853,20h 50m 12.69s,+03° 39′ 08.4′′,8.86,,,F8,"BL Her variable , *V* max = 8.86m, *V* min = 9.51m, *P* = 6.165907 d"
Delphinus,DX Del,,,DX,,102593,20h 47m 28.36s,+12° 27′ 50.7′′,9.56,,4200,A7IIIv,"RR Lyr variable , *V* max = 9.558m, *V* min = 10.291m, *P* = 0.4726191 d"
Delphinus,W Del,,,W,352682,101780,20h 37m 40.09s,+18° 17′ 03.8′′,9.81,,2200,A0Ve,"Algol variable, *V* max = 9.69m, *V* min = 12.33m, *P* = 4.8061 d"
Delphinus,TY Del,,,TY,,,21h 04m 21.98s,+13° 12′ 53.5′′,10.08,,,A0,"Algol variable, *V* max = 9.7m, *V* min = 10.9m, *P* = 1.19112689 d"
Delphinus,HAT-P-23,,,,,,20h 24m 30s,+16° 45′ 44′′,11.94,,1282,G5,Moriah; has a transiting planet (b )
Delphinus,WASP-2,,,,,,20h 30m 54s,+06° 25′ 46′′,11.98,,,K1V,has a transiting planet (b )
Delphinus,BX Del,,,BX,,,20h 21m 18.97s,+18° 26′ 16.2′′,11.99,,,A0,"BL Her variable, *V* max = 11.79m, *V* min = 12.57m, *P* = 1.091787 d"
Delphinus,WASP-176,,,,,,20h 54m 45.0s,+09° 10′ 45′′,12.00,,1885,,has a transiting planet (b )
Delphinus,HR Delphini,,,HR,,,20h 42m 20.35s,+19° 09′ 35.3′′,12.1,,,A0,"nova , *V* max = 3.6m, *V* min = 12.1m, *P* = 0.214165 d"
Delphinus,HU Delphini,,,HU,,,20h 29m 48.34s,+09° 41′ 20.3′′,13.04,,29.6,M6.0V+...,flare star
Delphinus,He 2-467,,,LT,,,20h 35m 57.23s,+20° 11′ 27.5′′,13.05,,,G6III,"Z And and rotating ellipsoidal variable , *V* max = 12.0m, *V* min = 13.4m, *P* = 476 d"
Delphinus,CM Del,,,CM,,,20h 24m 56.93s,+17° 17′ 54.4′′,13.40,,,A0,nova-like star
Delphinus,Nova Delphini 2013,,,V339,,,20h 29m 30.68s,+20° 46′ 03.8′′,16.86,,,,"nova, *V* max = 4.3m, *V* min = 17.6m, *P* = 1.19112689 d"
Delphinus,WISEPC J205628.90+145953.3,,,,,,20h 56m 28.90s,+14° 59′ 53.3′′,,,22.6,Y0,brown dwarf
Dorado,Alpha Doradus,α,,,29305,21281,04h 33m 59.72s,−55° 02′ 42.0′′,3.30,−0.36,176,A0IIIp(Si),"double star ; α2 CVn variable , *V* max = 3.26m, *V* min = 3.30m, *P* = 2.95 d"
Dorado,Beta Doradus,β,,,37350,26069,05h 33m 37.52s,−62° 29′ 23.5′′,3.76,−3.76,1038,F4-G4Ia-II,"Cepheid variable , *V* max = 3.41m, *V* min = 4.08m, *P* = 9.8426 d"
Dorado,Gamma Doradus,γ,,,27290,19893,04h 16m 01.49s,−51° 29′ 13.5′′,4.26,2.72,66,F0V-F5V,"prototype γ Dor variable , *V* max = 4.23m, *V* min = 4.27m, *P* = 0.7570 d"
Dorado,Delta Doradus,δ,,,39014,27100,05h 44m 46.42s,−65° 44′ 07.9′′,4.34,1.10,145,A7V,
Dorado,HD 40409,,,,40409,27890,05h 54m 05.90s,−63° 05′ 27.7′′,4.65,2.47,89,K1III/IV,
Dorado,Zeta Doradus,ζ,,,33262,23693,05h 05m 30.69s,−57° 28′ 22.8′′,4.71,4.38,38,F7V,"variable star , Δ*V* = 0.005m, *P* = 3.49614 d"
Dorado,Theta Doradus,θ,,,34649,24372,05h 13m 45.43s,−67° 11′ 07.3′′,4.81,−1.31,546,K2III,
Dorado,Eta2 Doradus,η2,,,43455,29353,06h 11m 15.02s,−65° 35′ 22.9′′,5.01,−1.56,671,M2.5III,"semiregular variable , *V* max = 4.94m, *V* min = 5.09m"
Dorado,Nu Doradus,ν,,,43107,29134,06h 08m 44.34s,−68° 50′ 36.4′′,5.06,0.42,277,B8V,
Dorado,Epsilon Doradus,ε,,,39844,27534,05h 49m 53.55s,−66° 54′ 04.4′′,5.10,−0.88,512,B6V,suspected variable
Dorado,Lambda Doradus,λ,,,36189,25429,05h 26m 19.28s,−58° 54′ 45.4′′,5.14,−0.64,467,G6III,
