Hours Studied,Previous Scores,Extracurricular Activities,Sleep Hours,Sample Question Papers Practiced,Performance Index
1,69,No,7,0,40.0
9,96,No,6,9,94.0
5,97,Yes,9,5,84.0
4,73,Yes,4,3,59.0
6,53,No,9,2,39.0
6,61,Yes,6,1,49.0
2,83,Yes,4,1,59.0
8,56,No,9,3,49.0
7,99,No,7,0,89.0
1,98,Yes,5,5,73.0
5,54,Yes,9,9,40.0
6,89,No,8,4,79.0
4,87,No,6,9,74.0
2,71,Yes,8,8,49.0
4,52,Yes,5,1,35.0
1,60,Yes,7,8,39.0
7,88,No,9,8,83.0
2,79,Yes,7,9,56.0
2,72,Yes,5,8,46.0
9,96,Yes,8,9,95.0
5,97,Yes,9,9,86.0
2,66,Yes,6,3,39.0
9,74,Yes,4,4,70.0
9,55,No,7,7,51.0
1,67,No,5,7,41.0
3,73,No,9,0,53.0
4,86,Yes,8,9,71.0
7,40,No,6,0,31.0
4,80,Yes,8,9,63.0
2,87,Yes,6,5,61.0
7,70,Yes,9,6,65.0
6,75,Yes,4,1,63.0
3,83,Yes,4,1,63.0
6,72,No,5,4,58.0
6,72,No,5,8,62.0
5,78,No,6,4,61.0
4,57,Yes,6,7,40.0
1,62,No,6,7,39.0
6,99,Yes,6,4,89.0
2,62,No,9,7,40.0
3,54,No,9,7,35.0
8,65,No,4,4,55.0
6,69,No,5,4,60.0
3,64,No,5,3,45.0
7,84,No,7,0,76.0
4,55,Yes,5,8,38.0
9,78,Yes,5,1,73.0
5,87,Yes,8,0,72.0
3,84,Yes,8,5,68.0
2,53,Yes,7,4,27.0
2,56,No,6,0,33.0
3,51,Yes,7,6,28.0
2,68,Yes,7,6,46.0
4,71,Yes,4,2,52.0
2,95,Yes,9,7,72.0
9,63,Yes,5,5,58.0
2,91,Yes,4,3,69.0
9,52,Yes,9,9,54.0
6,95,Yes,5,9,85.0
1,59,Yes,7,9,33.0
4,54,No,5,2,33.0
1,95,Yes,6,0,67.0
6,92,Yes,6,1,80.0
4,43,No,7,1,25.0
3,93,No,8,4,76.0
3,73,Yes,6,3,53.0
9,67,Yes,7,1,63.0
6,89,Yes,4,8,75.0
9,41,No,8,6,38.0
5,96,Yes,6,7,79.0
2,86,No,7,7,63.0
8,69,No,7,1,60.0
5,65,No,4,4,49.0
2,90,No,4,2,66.0
4,86,No,8,9,71.0
9,65,Yes,9,8,66.0
4,59,Yes,6,8,41.0
4,81,No,7,5,67.0
2,67,No,8,3,46.0
6,95,No,8,7,86.0
2,59,No,4,4,37.0
7,50,Yes,7,2,42.0
3,97,No,5,7,77.0
3,49,No,9,5,32.0
5,62,Yes,9,4,47.0
3,76,Yes,4,0,54.0
2,80,Yes,7,2,60.0
9,91,Yes,8,6,89.0
2,58,No,9,2,34.0
2,84,No,8,0,59.0
8,57,No,6,7,52.0
9,88,No,5,6,84.0
7,66,No,4,4,57.0
3,45,No,9,9,30.0
9,49,No,6,4,47.0
3,41,No,6,5,15.0
5,63,No,5,6,49.0
9,77,Yes,4,2,74.0
3,67,No,4,3,45.0
7,67,Yes,8,0,61.0
1,92,Yes,4,6,67.0
4,84,Yes,6,9,64.0
4,89,Yes,8,1,73.0
7,78,No,4,6,68.0
8,41,Yes,5,5,33.0
1,85,Yes,6,3,60.0
5,44,No,7,1,30.0
7,89,Yes,5,6,82.0
4,50,No,5,6,33.0
4,49,No,4,4,28.0
4,82,No,8,8,64.0
6,98,No,8,2,88.0
7,41,Yes,6,8,35.0
2,54,No,4,4,30.0
5,78,Yes,8,1,60.0
4,80,Yes,9,8,66.0
3,76,No,7,0,52.0
7,46,Yes,9,0,39.0
6,59,No,4,6,45.0
7,73,Yes,4,2,64.0
5,74,Yes,8,7,66.0
6,73,Yes,5,6,61.0
5,92,Yes,4,6,76.0
7,61,No,5,0,49.0
2,70,No,6,0,43.0
5,62,Yes,6,1,45.0
6,58,Yes,8,1,49.0
6,43,Yes,6,4,27.0
5,63,Yes,9,8,50.0
7,59,No,9,6,52.0
8,78,Yes,9,1,72.0
7,67,Yes,8,4,62.0
5,93,Yes,8,4,80.0
1,78,No,9,7,53.0
5,56,Yes,5,8,42.0
2,58,No,9,7,37.0
5,93,No,5,1,77.0
5,87,Yes,6,3,73.0
2,74,Yes,5,1,46.0
5,71,Yes,4,5,54.0
4,86,No,7,3,70.0
1,85,No,4,6,60.0
3,86,Yes,4,1,67.0
1,85,No,8,8,58.0
5,78,Yes,7,4,63.0
4,96,Yes,8,0,83.0
7,74,Yes,5,2,64.0
5,69,Yes,9,3,57.0
4,56,Yes,5,2,45.0
2,81,Yes,7,5,61.0
4,86,No,6,5,68.0
2,68,No,5,9,45.0
8,45,No,4,6,39.0
3,99,Yes,7,8,77.0
9,56,Yes,7,9,55.0
4,56,Yes,5,8,38.0
6,53,No,5,6,40.0
5,63,Yes,8,0,49.0
1,96,No,8,2,74.0
9,89,Yes,4,4,86.0
1,96,No,7,9,72.0
8,76,Yes,6,5,72.0
9,79,Yes,6,5,77.0
9,78,No,7,4,76.0
1,94,No,4,5,67.0
2,71,No,8,8,52.0
1,75,Yes,8,0,52.0
2,89,No,8,0,67.0
8,76,No,6,8,66.0
5,87,Yes,6,7,74.0
7,53,Yes,4,8,40.0
2,66,No,6,6,44.0
8,98,Yes,5,9,97.0
6,58,No,6,5,48.0
8,70,No,8,8,65.0
1,85,No,4,1,57.0
1,48,Yes,7,3,19.0
7,77,No,7,1,68.0
8,56,No,4,5,48.0
3,58,Yes,5,0,34.0
5,83,No,7,6,67.0
1,43,No,8,6,15.0
7,87,No,7,6,83.0
5,96,Yes,7,3,83.0
8,50,No,8,7,46.0
8,61,Yes,6,4,57.0
9,43,Yes,5,1,42.0
7,56,No,8,4,51.0
1,47,No,8,9,24.0
3,85,Yes,9,8,64.0
8,98,No,4,9,94.0
3,73,No,5,0,50.0
8,50,Yes,6,1,41.0
1,70,No,9,9,45.0
5,50,No,8,7,37.0
4,95,Yes,9,4,75.0
5,93,No,6,8,80.0
8,95,Yes,9,5,94.0
4,77,Yes,9,7,62.0
4,92,No,9,0,73.0
3,60,Yes,8,8,43.0
7,85,No,8,8,78.0
3,69,No,4,2,51.0
3,49,Yes,7,0,24.0
5,65,Yes,5,7,46.0
5,66,Yes,4,7,51.0
6,47,Yes,6,8,35.0
8,78,Yes,9,5,75.0
6,47,Yes,8,8,38.0
1,99,No,9,9,79.0
8,47,No,8,8,42.0
8,94,Yes,5,3,89.0
9,73,No,4,4,66.0
9,98,Yes,4,5,100.0
2,55,Yes,6,5,34.0
2,80,No,4,9,59.0
3,52,No,4,1,28.0
1,62,Yes,7,3,39.0
4,51,Yes,5,8,36.0
4,66,Yes,9,6,52.0
9,61,No,4,8,57.0
9,71,Yes,6,5,66.0
9,96,Yes,9,6,95.0
7,88,No,8,8,79.0
2,66,No,4,3,42.0
5,41,No,4,8,23.0
4,84,Yes,9,2,67.0
8,72,Yes,8,7,64.0
2,65,No,7,2,43.0
6,67,Yes,5,2,56.0
5,58,Yes,7,2,43.0
2,82,No,6,8,55.0
1,44,No,9,9,16.0
8,72,Yes,4,2,65.0
2,59,No,7,5,38.0
7,69,No,5,3,57.0
9,84,Yes,6,1,83.0
9,47,Yes,7,2,47.0
8,77,Yes,4,4,71.0
9,56,Yes,5,9,56.0
2,83,Yes,4,3,57.0
6,40,Yes,4,4,23.0
4,42,No,6,0,27.0
4,85,No,5,3,65.0
5,65,No,8,9,54.0
3,70,Yes,4,2,50.0
1,47,Yes,5,1,23.0
8,82,Yes,4,6,77.0
5,98,Yes,7,9,83.0
3,85,Yes,7,8,66.0
7,47,No,5,0,38.0
7,74,Yes,6,6,65.0
1,78,No,8,0,54.0
9,67,Yes,7,4,65.0
2,90,No,6,0,68.0
5,43,No,8,2,31.0
5,96,No,7,7,83.0
8,55,No,8,3,49.0
8,52,No,9,0,45.0
7,59,No,4,0,46.0
7,90,No,5,7,85.0
6,44,Yes,7,7,33.0
6,94,Yes,7,3,83.0
9,76,No,4,3,71.0
6,59,Yes,7,9,49.0
2,63,Yes,7,1,39.0
2,75,No,9,1,51.0
5,73,Yes,7,5,57.0
4,97,No,7,7,81.0
2,84,Yes,7,6,65.0
3,87,No,6,6,66.0
7,93,Yes,7,2,86.0
8,73,No,4,1,66.0
6,58,Yes,9,9,50.0
5,56,Yes,7,6,46.0
1,44,Yes,8,3,20.0
8,64,No,9,0,58.0
3,57,No,9,0,38.0
6,99,Yes,8,3,91.0
3,94,Yes,4,4,77.0
7,92,No,6,4,83.0
7,89,Yes,4,0,79.0
9,47,Yes,6,2,50.0
5,66,No,5,5,51.0
8,54,No,8,9,49.0
8,84,Yes,9,6,79.0
1,52,No,9,0,26.0
5,55,Yes,9,7,42.0
3,61,Yes,8,3,42.0
1,59,No,8,8,35.0
4,52,Yes,6,5,31.0
8,59,No,9,0,50.0
3,41,No,4,1,18.0
2,74,Yes,6,2,50.0
9,86,No,9,1,82.0
5,94,Yes,8,9,78.0
7,58,No,8,6,53.0
2,84,Yes,8,0,65.0
9,76,No,9,8,76.0
9,97,Yes,8,1,94.0
4,93,Yes,5,3,79.0
4,45,No,8,7,27.0
6,53,Yes,9,2,43.0
6,43,Yes,6,8,30.0
1,61,Yes,8,6,37.0
9,90,Yes,7,9,90.0
2,94,Yes,5,2,68.0
5,78,Yes,9,2,64.0
9,75,No,8,4,73.0
4,73,No,7,4,53.0
3,66,No,9,9,46.0
7,46,No,6,4,37.0
6,42,Yes,5,8,29.0
8,86,Yes,8,8,80.0
3,72,No,6,5,52.0
5,41,Yes,9,6,29.0
4,81,No,7,9,70.0
4,55,Yes,9,7,40.0
4,64,Yes,9,8,49.0
8,99,No,5,5,92.0
6,54,Yes,8,7,46.0
3,63,No,6,1,42.0
5,54,No,5,9,41.0
6,70,No,7,7,60.0
5,53,Yes,8,1,41.0
6,93,Yes,5,7,83.0
8,53,No,7,1,43.0
7,45,Yes,7,2,36.0
5,53,No,6,6,38.0
6,56,No,9,8,47.0
4,57,Yes,7,2,40.0
9,59,No,7,4,59.0
4,90,Yes,9,8,76.0
1,56,Yes,4,6,31.0
7,55,Yes,7,1,44.0
7,79,No,8,4,71.0
4,78,No,5,4,59.0
3,91,Yes,9,8,69.0
8,71,Yes,9,1,63.0
5,99,No,9,0,87.0
7,83,Yes,8,3,77.0
4,48,Yes,9,3,31.0
4,66,No,8,0,47.0
8,85,No,6,9,78.0
8,91,No,4,6,86.0
2,72,Yes,9,1,48.0
2,49,No,4,8,24.0
3,56,No,9,6,39.0
3,88,No,8,6,71.0
1,88,No,5,0,60.0
3,75,No,4,8,54.0
6,56,No,4,9,45.0
8,57,No,8,8,51.0
6,91,Yes,4,1,78.0
5,62,No,6,9,48.0
4,73,Yes,8,8,59.0
3,47,Yes,4,1,28.0
4,52,No,4,1,35.0
7,62,Yes,4,7,55.0
1,96,No,8,2,69.0
7,93,Yes,5,2,87.0
1,59,No,7,6,32.0
2,61,Yes,9,9,37.0
4,86,No,4,5,66.0
1,91,No,7,6,66.0
9,62,Yes,7,5,56.0
6,80,Yes,4,8,70.0
1,74,No,4,1,48.0
1,42,Yes,9,7,17.0
6,73,No,7,5,59.0
4,72,Yes,5,3,56.0
4,85,No,7,5,66.0
6,56,Yes,5,5,41.0
7,84,No,6,9,76.0
9,58,Yes,5,2,54.0
5,69,No,9,7,57.0
9,62,Yes,8,4,62.0
4,54,No,4,9,38.0
2,98,Yes,6,3,73.0
3,96,Yes,7,1,72.0
1,53,No,5,9,28.0
6,41,Yes,6,0,28.0
6,78,Yes,8,6,67.0
1,88,No,5,9,62.0
3,57,No,9,2,36.0
5,45,No,7,2,33.0
3,98,No,7,2,74.0
3,71,Yes,5,9,52.0
3,60,Yes,8,2,38.0
5,79,Yes,4,1,62.0
5,67,No,4,5,50.0
4,66,Yes,7,9,48.0
1,41,Yes,8,2,15.0
5,72,No,7,0,51.0
5,55,Yes,4,9,37.0
4,78,Yes,7,8,59.0
6,61,No,5,5,46.0
4,95,Yes,9,5,78.0
7,82,No,5,9,74.0
7,86,No,9,8,78.0
2,52,Yes,8,1,27.0
3,95,Yes,4,9,74.0
1,41,Yes,8,8,15.0
8,53,No,8,2,46.0
9,95,No,4,2,90.0
4,77,Yes,6,2,58.0
6,80,Yes,6,0,65.0
9,67,No,7,9,65.0
6,46,Yes,6,6,36.0
9,57,Yes,5,9,52.0
4,95,No,9,6,79.0
8,80,Yes,8,1,74.0
9,94,Yes,7,5,93.0
4,75,Yes,8,3,57.0
5,80,Yes,4,6,65.0
8,75,No,6,6,69.0
6,83,No,4,3,71.0
7,43,No,7,2,31.0
3,96,No,9,6,78.0
7,69,Yes,5,8,60.0
8,63,Yes,6,3,58.0
6,59,Yes,4,5,46.0
9,85,Yes,9,6,87.0
6,95,No,6,9,81.0
9,70,Yes,8,2,69.0
4,63,Yes,5,4,46.0
8,46,No,9,0,41.0
4,65,No,6,5,50.0
2,52,No,5,4,24.0
9,93,Yes,9,6,97.0
5,47,No,8,8,35.0
4,94,Yes,8,3,82.0
2,44,Yes,4,8,24.0
1,83,No,7,5,59.0
7,52,No,4,4,42.0
6,68,No,5,1,56.0
2,59,Yes,4,0,30.0
8,53,Yes,9,7,49.0
4,71,Yes,6,5,56.0
8,99,No,9,6,98.0
7,89,Yes,4,5,79.0
5,66,Yes,7,9,54.0
8,95,Yes,9,6,93.0
9,64,Yes,9,8,63.0
5,91,No,9,4,76.0
5,43,Yes,7,0,27.0
2,60,No,9,0,35.0
5,57,No,5,8,39.0
3,78,Yes,8,4,59.0
7,54,Yes,7,1,50.0
5,92,No,5,2,77.0
8,77,Yes,7,0,70.0
1,87,No,7,5,62.0
3,91,Yes,8,5,71.0
3,63,Yes,6,2,39.0
9,47,No,5,2,41.0
5,67,Yes,7,6,51.0
9,60,No,7,0,52.0
9,55,No,4,4,49.0
1,99,Yes,9,2,76.0
2,93,No,6,4,71.0
5,55,Yes,8,3,42.0
4,74,Yes,5,5,60.0
9,56,Yes,7,8,53.0
7,48,No,9,1,40.0
6,96,Yes,5,9,85.0
7,74,Yes,8,7,70.0
1,91,No,6,1,63.0
1,68,No,4,3,42.0
8,78,No,6,8,73.0
2,57,No,4,3,35.0
9,51,Yes,5,6,48.0
7,58,Yes,6,4,49.0
6,87,Yes,6,1,75.0
1,61,Yes,6,7,35.0
1,98,No,8,9,70.0
2,95,No,5,9,71.0
6,88,Yes,4,1,74.0
6,91,No,6,2,77.0
2,54,No,5,9,30.0
1,40,No,9,6,13.0
5,41,No,8,4,26.0
5,47,No,8,9,35.0
2,61,Yes,9,2,40.0
6,64,Yes,5,1,55.0
9,41,No,4,5,37.0
2,90,No,5,9,64.0
2,48,Yes,5,0,23.0
3,48,Yes,7,7,27.0
7,52,No,8,4,42.0
6,45,No,4,4,34.0
8,69,No,7,1,63.0
8,54,Yes,9,6,50.0
6,90,No,5,4,75.0
3,92,No,9,7,74.0
3,54,No,8,4,39.0
1,89,No,7,8,63.0
7,46,No,7,4,36.0
5,97,No,4,2,84.0
4,50,No,5,1,30.0
4,79,No,4,4,60.0
4,77,Yes,7,9,61.0
6,79,Yes,7,9,70.0
8,41,Yes,4,4,32.0
8,90,No,7,5,87.0
5,87,Yes,6,1,72.0
6,78,Yes,8,4,68.0
4,49,Yes,5,0,29.0
9,83,Yes,8,2,78.0
8,56,Yes,5,2,45.0
1,46,No,7,2,20.0
2,93,Yes,4,2,66.0
9,79,No,4,7,77.0
8,78,No,7,0,72.0
3,43,Yes,5,5,26.0
8,74,No,7,5,67.0
1,90,Yes,5,0,67.0
4,86,No,7,0,68.0
3,75,No,7,2,56.0
6,70,Yes,7,7,61.0
7,64,No,4,5,50.0
4,80,No,5,3,68.0
7,52,No,9,4,47.0
9,57,No,7,9,56.0
2,60,No,8,2,40.0
3,87,No,8,5,68.0
5,40,No,4,5,26.0
3,75,No,6,5,55.0
8,89,Yes,9,8,84.0
8,47,No,4,9,40.0
8,91,Yes,6,7,85.0
9,87,Yes,4,5,85.0
4,60,No,8,1,40.0
5,82,No,7,3,68.0
5,91,Yes,5,5,74.0
8,92,Yes,7,8,90.0
7,92,Yes,8,1,82.0
9,60,No,5,5,57.0
8,66,No,6,9,61.0
2,58,No,6,9,38.0
4,62,Yes,8,9,46.0
6,90,No,5,6,80.0
2,89,No,7,7,67.0
7,90,No,8,8,84.0
3,82,No,6,4,58.0
3,74,Yes,8,8,55.0
2,79,No,7,8,57.0
8,91,No,4,6,87.0
6,90,Yes,9,1,80.0
1,81,No,9,7,54.0
1,87,Yes,9,4,64.0
7,44,Yes,4,7,33.0
8,91,No,7,1,83.0
5,80,Yes,5,6,66.0
5,47,No,8,4,33.0
4,50,Yes,7,3,31.0
6,55,Yes,4,9,40.0
6,78,No,6,5,66.0
3,86,Yes,9,4,67.0
9,63,No,9,5,64.0
7,60,No,7,8,52.0
1,91,No,9,0,68.0
7,62,No,9,0,58.0
5,88,Yes,7,5,72.0
5,77,No,7,1,65.0
2,86,Yes,4,7,65.0
4,47,No,4,6,24.0
6,46,Yes,9,5,35.0
7,41,Yes,7,3,34.0
5,69,Yes,7,8,57.0
9,52,Yes,9,6,54.0
3,62,No,5,6,42.0
1,68,No,6,4,39.0
4,77,Yes,8,0,62.0
9,76,Yes,8,1,71.0
4,59,No,9,7,42.0
2,72,Yes,8,4,52.0
5,68,Yes,4,1,54.0
3,89,No,4,4,68.0
9,54,Yes,5,7,50.0
4,62,Yes,9,3,46.0
6,81,No,4,2,68.0
2,42,Yes,9,4,19.0
6,76,No,9,6,68.0
3,95,No,7,1,74.0
9,68,No,6,0,63.0
2,84,No,6,4,60.0
9,47,Yes,9,6,47.0
5,61,No,6,7,47.0
8,92,No,6,7,87.0
2,68,Yes,8,9,45.0
6,41,No,8,8,31.0
3,80,Yes,7,0,61.0
5,88,No,5,6,73.0
8,98,No,4,9,92.0
1,89,No,4,7,65.0
5,84,No,8,5,69.0
3,40,Yes,9,9,20.0
4,83,Yes,6,3,66.0
2,59,Yes,7,6,38.0
9,91,No,5,2,81.0
3,60,No,8,1,39.0
2,76,No,9,5,53.0
9,47,Yes,7,1,44.0
7,66,No,9,5,58.0
6,86,Yes,7,9,79.0
1,98,Yes,8,2,75.0
5,74,Yes,7,1,59.0
3,45,No,6,7,23.0
1,99,No,7,3,74.0
4,84,No,5,3,65.0
2,83,No,7,6,60.0
2,58,Yes,4,7,32.0
3,57,Yes,7,8,38.0
8,95,No,9,9,91.0
8,40,No,8,7,34.0
7,64,No,4,3,46.0
6,66,Yes,8,1,55.0
9,46,No,9,9,43.0
4,83,Yes,5,4,67.0
1,81,Yes,6,6,56.0
8,68,Yes,5,1,58.0
7,70,Yes,4,3,60.0
7,83,Yes,9,5,77.0
3,82,Yes,9,7,69.0
4,75,Yes,6,9,60.0
9,58,No,7,5,52.0
6,45,No,4,5,36.0
5,64,No,6,5,49.0
3,70,Yes,8,3,50.0
9,48,Yes,6,2,48.0
5,59,No,8,0,43.0
5,49,Yes,8,1,34.0
4,76,Yes,9,1,57.0
4,66,Yes,6,9,50.0
1,52,Yes,9,6,28.0
7,80,Yes,9,5,72.0
9,41,Yes,5,7,38.0
3,89,Yes,5,8,68.0
2,60,Yes,9,4,41.0
3,72,Yes,9,2,53.0
1,63,Yes,8,3,36.0
6,92,Yes,9,7,80.0
7,83,Yes,4,2,73.0
2,81,No,6,1,59.0
8,73,Yes,4,6,67.0
6,99,Yes,5,3,91.0
4,48,No,4,7,34.0
5,41,No,7,0,23.0
8,94,No,7,7,86.0
3,95,Yes,5,4,73.0
3,69,Yes,4,1,49.0
4,61,No,6,0,43.0
1,85,No,5,5,61.0
9,50,No,7,8,45.0
8,94,Yes,5,8,85.0
8,82,Yes,4,8,75.0
6,56,No,4,3,44.0
7,75,Yes,4,5,66.0
6,52,Yes,8,9,45.0
9,46,No,4,5,40.0
3,55,No,9,4,38.0
3,72,No,7,1,50.0
3,84,Yes,7,6,67.0
3,40,Yes,8,0,21.0
9,50,Yes,7,5,51.0
4,45,Yes,7,4,25.0
7,59,Yes,5,4,53.0
9,74,No,4,7,71.0
7,83,Yes,9,8,77.0
9,76,Yes,9,6,75.0
3,80,No,5,9,60.0
4,65,No,9,7,49.0
8,97,No,5,1,87.0
6,51,No,9,1,40.0
5,69,Yes,7,7,56.0
4,67,Yes,6,5,49.0
8,66,No,4,7,59.0
1,81,Yes,6,8,59.0
9,58,No,7,8,54.0
1,44,Yes,8,5,17.0
8,97,Yes,5,7,90.0
4,44,Yes,9,1,23.0
9,80,No,9,7,82.0
5,66,No,7,2,49.0
3,67,Yes,9,0,50.0
9,65,Yes,7,6,60.0
9,66,No,6,0,60.0
4,91,No,8,0,74.0
4,88,Yes,5,0,71.0
8,81,Yes,9,3,77.0
2,60,No,8,3,34.0
9,40,Yes,8,9,39.0
6,93,No,8,5,85.0
9,67,No,4,9,64.0
8,87,Yes,8,2,87.0
7,97,Yes,7,9,91.0
1,97,Yes,4,5,73.0
3,54,No,4,6,34.0
2,94,No,8,0,70.0
5,56,No,9,5,42.0
5,65,Yes,9,9,55.0
5,59,Yes,9,0,45.0
4,64,No,9,6,49.0
5,52,No,7,9,37.0
3,72,Yes,9,4,55.0
1,64,No,5,9,38.0
5,47,Yes,8,3,35.0
9,44,Yes,4,0,41.0
9,45,No,5,8,43.0
4,62,No,9,6,46.0
3,91,No,5,1,69.0
1,69,No,4,3,37.0
2,53,No,9,3,31.0
8,93,Yes,5,7,90.0
1,62,No,7,1,33.0
8,50,Yes,7,4,44.0
7,70,No,8,9,62.0
8,45,No,8,7,41.0
6,50,No,5,5,38.0
9,52,No,4,3,45.0
3,51,No,7,4,34.0
4,93,No,6,1,72.0
6,41,Yes,8,4,29.0
8,92,No,7,2,83.0
5,74,No,9,2,61.0
3,94,No,5,6,75.0
6,75,No,7,2,63.0
4,56,Yes,7,3,36.0
9,67,Yes,5,6,62.0
3,67,Yes,8,2,49.0
4,61,Yes,8,9,46.0
7,77,Yes,6,9,69.0
7,46,Yes,6,1,35.0
4,54,No,8,9,38.0
6,71,No,8,6,62.0
3,50,Yes,8,4,30.0
6,63,No,8,0,52.0
2,42,No,7,9,16.0
8,69,No,6,7,66.0
2,45,No,5,2,20.0
7,97,No,4,6,86.0
9,41,Yes,5,5,38.0
1,53,Yes,9,9,30.0
8,80,Yes,4,5,71.0
7,57,Yes,7,7,49.0
6,90,Yes,9,3,79.0
6,83,Yes,6,3,69.0
6,70,No,4,2,56.0
9,52,Yes,8,0,47.0
2,65,No,9,9,41.0
1,83,No,7,2,58.0
6,51,Yes,4,0,38.0
8,57,Yes,8,5,52.0
3,48,Yes,9,7,25.0
1,88,No,7,2,62.0
9,60,Yes,9,3,60.0
1,87,Yes,4,4,63.0
3,88,Yes,8,6,72.0
8,92,No,6,5,84.0
3,95,Yes,7,1,74.0
4,79,Yes,4,6,61.0
8,82,No,8,7,77.0
1,63,No,6,0,36.0
6,73,No,9,5,65.0
1,47,Yes,8,8,23.0
1,83,Yes,6,6,60.0
8,92,No,4,4,83.0
4,72,Yes,8,9,56.0
1,62,No,8,9,37.0
7,52,No,5,8,43.0
5,93,No,7,1,76.0
5,92,No,8,6,83.0
1,88,No,6,8,63.0
6,53,Yes,7,1,39.0
9,53,Yes,4,9,48.0
9,55,Yes,7,5,53.0
8,88,Yes,5,8,84.0
5,77,No,4,2,63.0
1,97,Yes,8,7,73.0
9,99,No,9,4,99.0
1,78,No,4,6,52.0
8,65,Yes,4,2,58.0
5,65,Yes,5,7,50.0
3,40,No,6,1,18.0
7,71,Yes,4,7,62.0
7,96,Yes,6,1,87.0
9,54,Yes,7,6,53.0
7,91,Yes,9,1,87.0
3,60,No,5,6,37.0
1,57,No,8,0,31.0
8,69,Yes,4,5,63.0
3,99,No,9,9,81.0
8,97,No,9,6,95.0
8,52,Yes,6,3,45.0
5,63,Yes,4,0,48.0
1,69,No,9,5,47.0
7,41,No,5,3,31.0
5,58,No,8,2,43.0
8,86,Yes,7,3,82.0
9,83,No,7,5,80.0
7,86,No,6,4,76.0
7,64,Yes,9,1,57.0
1,89,No,7,1,64.0
4,53,Yes,6,2,35.0
2,45,Yes,8,5,24.0
2,51,No,4,0,30.0
2,59,Yes,5,6,38.0
4,62,Yes,8,7,45.0
1,69,No,8,6,44.0
4,69,Yes,7,2,53.0
2,77,No,7,5,53.0
5,97,Yes,5,3,84.0
3,69,Yes,4,4,47.0
8,80,No,8,2,76.0
4,69,No,9,4,57.0
1,96,No,7,5,71.0
1,97,Yes,8,7,74.0
3,75,No,4,5,54.0
9,88,Yes,6,8,84.0
7,73,No,4,9,62.0
2,55,Yes,8,9,35.0
9,63,No,8,9,62.0
2,53,Yes,5,9,30.0
3,65,No,8,3,47.0
2,47,Yes,7,1,25.0
3,53,Yes,9,8,40.0
6,70,Yes,5,2,56.0
9,41,Yes,8,6,38.0
9,87,No,4,3,86.0
7,43,Yes,8,0,38.0
3,40,No,4,7,17.0
4,94,Yes,4,3,75.0
6,59,No,8,5,48.0
5,98,Yes,4,6,87.0
2,53,Yes,9,7,32.0
6,79,No,6,9,68.0
3,64,No,5,1,42.0
8,99,Yes,8,8,96.0
2,64,No,6,9,42.0
1,42,No,4,2,18.0
9,44,No,4,0,41.0
3,77,Yes,5,1,54.0
1,93,No,6,7,67.0
7,65,Yes,6,9,57.0
5,79,No,8,5,65.0
5,77,No,4,0,62.0
1,77,Yes,7,8,56.0
9,43,No,8,6,39.0
7,46,No,8,9,38.0
8,69,No,8,2,65.0
9,69,No,5,6,68.0
6,95,No,5,5,82.0
5,58,No,8,2,44.0
6,78,No,9,7,67.0
2,74,Yes,7,0,53.0
4,79,Yes,6,4,61.0
3,72,Yes,6,7,53.0
7,72,Yes,4,2,61.0
9,53,Yes,6,9,49.0
5,77,No,6,5,61.0
6,49,Yes,7,9,38.0
2,96,Yes,6,1,76.0
3,67,No,7,8,47.0
3,53,Yes,5,1,32.0
9,75,No,7,4,71.0
7,77,No,5,2,69.0
8,55,Yes,7,9,53.0
9,99,Yes,8,8,100.0
6,60,No,9,8,49.0
4,67,No,5,6,48.0
1,72,Yes,5,9,45.0
8,45,No,6,4,40.0
7,80,Yes,5,8,71.0
2,54,Yes,7,6,34.0
8,83,Yes,8,1,76.0
5,42,Yes,8,9,29.0
7,82,No,6,0,71.0
4,86,No,7,9,69.0
5,74,Yes,7,9,58.0
8,53,Yes,4,3,43.0
1,41,No,5,9,17.0
1,68,No,6,7,41.0
4,43,No,8,5,27.0
3,65,No,9,1,45.0
2,90,No,4,4,65.0
3,51,Yes,7,8,31.0
1,41,Yes,5,5,14.0
1,56,Yes,8,5,33.0
6,74,Yes,4,6,60.0
5,49,No,7,4,34.0
8,87,No,8,2,82.0
2,61,Yes,8,2,40.0
4,80,Yes,7,4,66.0
8,82,No,7,3,76.0
6,60,Yes,6,4,46.0
1,54,Yes,8,8,31.0
4,74,No,7,4,57.0
1,87,No,9,3,65.0
2,60,No,9,3,38.0
5,60,Yes,4,0,46.0
8,60,No,5,9,53.0
8,99,No,9,3,97.0
3,83,Yes,6,3,63.0
4,71,No,7,8,55.0
6,94,Yes,5,3,79.0
3,44,Yes,6,6,26.0
2,78,Yes,8,0,55.0
6,48,Yes,5,6,37.0
5,92,No,9,1,78.0
5,57,Yes,6,7,45.0
5,60,No,7,0,45.0
5,47,No,7,9,34.0
3,83,No,6,2,66.0
7,91,No,8,7,79.0
6,73,No,9,9,63.0
4,49,Yes,6,7,32.0
2,90,No,4,4,64.0
9,80,Yes,6,4,78.0
1,96,Yes,6,7,69.0
4,63,Yes,9,9,46.0
1,79,No,7,4,54.0
6,63,No,8,8,51.0
4,95,No,6,0,78.0
5,71,No,5,4,54.0
5,95,Yes,7,2,80.0
9,72,No,7,2,67.0
1,77,No,6,1,48.0
