Monthly Income (INR),Cost of Living Expenditure (INR),Other Important Investments (INR),Consumerist Expenditure (INR),Crisis Shock Expenditure (INR),Total Monthly Expenditure (INR),Debt Status,Financial State Category,Current Monthly Income Enough for Next Few Months,Current Expenditure Worth It,Suggested Budget - Cost of Living,Suggested Budget - Other Important Investments,Suggested Budget - Consumerist Expenditure,Suggested Budget - Crisis Shocks
473769,229543,63784,58358,32761,384446,Not in Debt,Low-Rate Saver (<25% in savings),Yes,Yes,0.43,0.13,0.12,0.07
378448,204488,40183,107523,26254,378448,In Debt,Zero-Balance Living,No,No,0.43,0.12,0.18,0.07
326620,139150,56916,48602,50925,295593,In Debt,Low-Rate Saver (<25% in savings),No,Yes,0.43,0.17,0.08,0.07
386382,154869,39271,54116,62087,310343,In Debt,Low-Rate Saver (<25% in savings),Yes,No,0.4,0.12,0.11,0.12
359030,86785,32022,37813,6642,163262,In Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.24,0.12,0.11,0.05
89256,47176,6595,11103,31274,96148,In Debt,Deficit Living,No,No,0.53,0.09,0.12,0.1
51114,19998,2216,3791,8928,34933,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.39,0.07,0.08,0.08
147542,73812,23423,18650,9128,125013,Not in Debt,Low-Rate Saver (<25% in savings),Yes,Yes,0.5,0.12,0.08,0.05
298973,148275,66049,58439,85692,358455,In Debt,Deficit Living,No,Yes,0.48,0.15,0.08,0.11
111218,75000,24431,23249,22183,144863,In Debt,Deficit Living,No,Yes,0.53,0.14,0.08,0.1
191363,129211,32247,56855,995,219308,In Debt,Deficit Living,No,No,0.48,0.15,0.14,0.05
28859,13752,4410,7264,3433,28859,In Debt,Zero-Balance Living,No,No,0.48,0.09,0.12,0.07
123139,62039,21816,32493,6791,123139,Not in Debt,Zero-Balance Living,No,No,0.5,0.14,0.12,0.06
426668,179649,77087,119711,50221,426668,In Debt,Zero-Balance Living,No,No,0.42,0.17,0.09,0.12
170315,42007,7763,15807,21187,86764,In Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.25,0.1,0.09,0.11
319338,71584,7071,23202,34323,136180,In Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.22,0.12,0.08,0.11
262327,94053,16207,27407,90281,227948,Not in Debt,Low-Rate Saver (<25% in savings),Yes,No,0.36,0.1,0.1,0.11
394088,219756,35014,83769,55549,394088,Not in Debt,Zero-Balance Living,No,No,0.43,0.12,0.13,0.12
127792,30088,9299,20864,13779,74030,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.24,0.09,0.15,0.1
262254,72627,19299,24279,30796,147001,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.28,0.1,0.09,0.11
404938,176104,20827,50161,61132,308224,In Debt,Low-Rate Saver (<25% in savings),Yes,No,0.43,0.12,0.08,0.12
46566,9967,2396,4424,2850,19637,In Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.21,0.07,0.1,0.06
462554,219758,34036,66345,129406,449545,In Debt,Low-Rate Saver (<25% in savings),No,No,0.43,0.12,0.08,0.12
345843,158553,59608,60674,104602,383437,In Debt,Deficit Living,No,No,0.43,0.17,0.08,0.12
453695,267333,26164,113082,47116,453695,Not in Debt,Zero-Balance Living,No,No,0.43,0.12,0.15,0.1
260557,140412,42373,69434,27059,279278,In Debt,Deficit Living,No,No,0.48,0.15,0.09,0.1
39466,11319,2405,4187,4812,22723,In Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.29,0.07,0.11,0.08
425371,174284,65253,86697,32619,358853,Not in Debt,Low-Rate Saver (<25% in savings),Yes,No,0.41,0.15,0.11,0.08
37942,10896,2821,3236,5811,22764,In Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.29,0.07,0.09,0.08
152534,61764,24836,37568,1325,125493,In Debt,Low-Rate Saver (<25% in savings),Yes,No,0.4,0.15,0.15,0.05
93013,49650,4422,23353,5666,83091,Not in Debt,Low-Rate Saver (<25% in savings),Yes,No,0.53,0.09,0.08,0.05
200587,114715,36198,32730,80949,264592,In Debt,Deficit Living,No,Yes,0.48,0.15,0.08,0.11
208383,121221,31116,68793,77362,298492,In Debt,Deficit Living,No,No,0.48,0.15,0.08,0.11
437076,241374,34488,124616,36598,437076,Not in Debt,Zero-Balance Living,No,No,0.43,0.12,0.17,0.08
94945,25748,7490,6571,11193,51002,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.27,0.09,0.08,0.1
258459,123323,42096,44844,28656,238919,Not in Debt,Low-Rate Saver (<25% in savings),No,No,0.48,0.14,0.08,0.05
314781,167040,29641,99015,105348,401044,In Debt,Deficit Living,No,No,0.43,0.12,0.13,0.12
83313,45051,5047,22889,12175,85162,In Debt,Deficit Living,No,No,0.53,0.09,0.13,0.1
286937,183887,72924,63632,87377,407820,In Debt,Deficit Living,No,Yes,0.48,0.15,0.08,0.11
111536,61040,11089,13241,26166,111536,In Debt,Zero-Balance Living,No,No,0.53,0.1,0.09,0.1
319766,121100,21629,39895,100628,283252,In Debt,Low-Rate Saver (<25% in savings),Yes,No,0.38,0.12,0.12,0.12
264962,200382,62686,53617,33430,350115,In Debt,Deficit Living,No,Yes,0.48,0.15,0.08,0.11
198778,117936,35946,42690,73002,269574,In Debt,Deficit Living,No,No,0.48,0.15,0.08,0.11
341217,118493,48453,77580,41916,286442,Not in Debt,Low-Rate Saver (<25% in savings),Yes,No,0.35,0.14,0.14,0.12
141475,60470,12499,38272,30234,141475,Not in Debt,Zero-Balance Living,No,No,0.43,0.09,0.15,0.1
176807,71023,30976,40410,30174,172583,Not in Debt,Low-Rate Saver (<25% in savings),No,No,0.4,0.15,0.09,0.11
430847,98984,25082,40098,53678,217842,In Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.23,0.12,0.09,0.12
309465,115381,48355,36936,42002,242674,In Debt,Low-Rate Saver (<25% in savings),Yes,Yes,0.37,0.16,0.1,0.12
489147,298084,44212,122982,100742,566020,In Debt,Deficit Living,No,No,0.43,0.12,0.13,0.12
89471,17026,6556,10584,4921,39087,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.19,0.09,0.12,0.06
121846,31490,10308,11053,19668,72519,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.26,0.09,0.09,0.1
319918,198536,48290,113351,43087,403264,In Debt,Deficit Living,No,No,0.43,0.15,0.1,0.12
78306,20519,2981,5852,14536,43888,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.26,0.09,0.08,0.1
427506,185858,54612,56814,28707,325991,In Debt,Low-Rate Saver (<25% in savings),Yes,No,0.43,0.13,0.12,0.07
129634,63979,18640,35131,11884,129634,Not in Debt,Zero-Balance Living,No,No,0.49,0.14,0.1,0.09
178117,92517,13982,28952,65053,200504,In Debt,Deficit Living,No,No,0.48,0.1,0.13,0.11
75382,39051,8800,10038,10384,68273,Not in Debt,Low-Rate Saver (<25% in savings),No,No,0.52,0.1,0.08,0.05
127243,47514,7917,12118,50001,117550,In Debt,Low-Rate Saver (<25% in savings),No,No,0.37,0.09,0.1,0.1
304783,134352,60117,61231,49083,304783,Not in Debt,Zero-Balance Living,No,No,0.43,0.17,0.08,0.12
450920,226903,91998,95945,128121,542967,In Debt,Deficit Living,No,No,0.43,0.17,0.08,0.12
76394,17856,5602,9963,31,33452,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.23,0.09,0.13,0.05
333839,185321,18580,39608,90330,333839,In Debt,Zero-Balance Living,No,No,0.43,0.12,0.12,0.12
34809,8595,2371,4148,1065,16179,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.25,0.07,0.12,0.05
29259,16476,4957,3529,4297,29259,Not in Debt,Zero-Balance Living,No,Yes,0.56,0.09,0.1,0.07
296758,68820,28096,24668,20556,142140,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.23,0.1,0.08,0.07
97587,39476,8601,14381,35129,97587,Not in Debt,Zero-Balance Living,No,No,0.4,0.09,0.15,0.1
46044,20507,2989,4896,15800,44192,Not in Debt,Low-Rate Saver (<25% in savings),No,No,0.45,0.07,0.11,0.08
139801,69060,25412,40569,27034,162075,In Debt,Deficit Living,No,No,0.49,0.14,0.12,0.1
357372,167207,37482,41976,72129,318794,In Debt,Low-Rate Saver (<25% in savings),Yes,No,0.43,0.12,0.08,0.12
90947,17978,6239,5831,11197,41245,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.2,0.09,0.08,0.1
64855,15523,1864,3552,7656,28595,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.24,0.07,0.08,0.08
493514,275848,34974,100546,82146,493514,In Debt,Zero-Balance Living,No,No,0.43,0.12,0.13,0.12
363614,152649,29523,74122,43707,300001,Not in Debt,Low-Rate Saver (<25% in savings),Yes,No,0.42,0.12,0.09,0.12
138899,28512,3392,7235,24326,63465,In Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.21,0.09,0.08,0.1
256542,113827,21878,44416,44144,224265,Not in Debt,Low-Rate Saver (<25% in savings),Yes,No,0.44,0.1,0.1,0.11
175580,48551,6208,16474,28459,99692,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.28,0.1,0.09,0.11
439303,254503,64503,52432,54666,426104,In Debt,Low-Rate Saver (<25% in savings),No,Yes,0.43,0.15,0.08,0.09
266839,71028,18489,38436,20042,147995,In Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.27,0.1,0.14,0.08
120092,74849,17000,25240,45858,162947,In Debt,Deficit Living,No,No,0.53,0.14,0.08,0.1
388048,225969,46383,70792,44904,388048,Not in Debt,Zero-Balance Living,No,No,0.43,0.12,0.13,0.12
157077,74318,22416,47868,31630,176232,In Debt,Deficit Living,No,No,0.47,0.14,0.1,0.11
143517,69835,12157,19039,42486,143517,Not in Debt,Zero-Balance Living,No,No,0.49,0.09,0.13,0.1
304612,65710,23657,19805,32926,142098,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.22,0.12,0.08,0.11
193400,36558,11945,26375,14424,89302,In Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.19,0.1,0.14,0.07
144252,63781,21936,31583,16695,133995,In Debt,Low-Rate Saver (<25% in savings),No,No,0.44,0.14,0.08,0.09
147504,74298,21521,39141,12544,147504,Not in Debt,Zero-Balance Living,No,No,0.5,0.14,0.09,0.09
162358,39178,13404,8979,10163,71724,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.24,0.1,0.08,0.06
384160,184893,25224,42164,155719,408000,In Debt,Deficit Living,No,No,0.43,0.12,0.11,0.12
74698,43973,21279,14102,28226,107580,In Debt,Deficit Living,No,Yes,0.58,0.12,0.08,0.07
352434,118165,56769,69556,45864,290354,Not in Debt,Low-Rate Saver (<25% in savings),Yes,No,0.34,0.16,0.13,0.12
252882,130740,15316,43202,29863,219121,Not in Debt,Low-Rate Saver (<25% in savings),Yes,No,0.48,0.1,0.08,0.09
330273,71332,10636,20527,30899,133394,In Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.22,0.12,0.08,0.09
452892,197330,21866,75782,107162,402140,Not in Debt,Low-Rate Saver (<25% in savings),Yes,No,0.43,0.12,0.08,0.12
380220,107742,39184,56324,33065,236315,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.28,0.12,0.15,0.09
325338,166291,34624,93838,60443,355196,In Debt,Deficit Living,No,No,0.43,0.12,0.13,0.12
141825,89445,34394,30526,43484,197849,In Debt,Deficit Living,No,Yes,0.53,0.14,0.08,0.1
41082,18682,5734,9749,6917,41082,Not in Debt,Zero-Balance Living,No,No,0.45,0.12,0.13,0.08
76836,37671,4308,16363,13796,72138,Not in Debt,Low-Rate Saver (<25% in savings),No,No,0.49,0.09,0.08,0.09
179060,73206,17333,22545,28884,141968,Not in Debt,Low-Rate Saver (<25% in savings),Yes,No,0.41,0.1,0.13,0.11
282715,113264,27127,83124,59200,282715,Not in Debt,Zero-Balance Living,No,No,0.4,0.1,0.17,0.11
387196,199881,63705,72426,10484,346496,Not in Debt,Low-Rate Saver (<25% in savings),Yes,No,0.43,0.16,0.11,0.05
106566,45898,11656,25276,20084,102914,Not in Debt,Low-Rate Saver (<25% in savings),No,No,0.43,0.11,0.11,0.1
38707,29818,6574,13468,4161,54021,In Debt,Deficit Living,No,No,0.58,0.12,0.08,0.07
248395,62886,14701,27635,41612,146834,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.25,0.1,0.11,0.11
177715,46718,15279,18687,27878,108562,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.26,0.1,0.11,0.11
69261,40175,12752,11316,7018,71261,In Debt,Deficit Living,No,Yes,0.58,0.12,0.08,0.07
70168,14271,4344,5968,4750,29333,In Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.2,0.07,0.09,0.07
47475,18158,3230,3773,11554,36715,In Debt,Low-Rate Saver (<25% in savings),Yes,No,0.38,0.07,0.08,0.08
239861,160644,30549,33189,68817,293199,In Debt,Deficit Living,No,No,0.48,0.13,0.1,0.11
243230,80232,18536,38748,0,134197,In Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.33,0.1,0.16,0.05
427497,215910,23252,38930,102239,380331,Not in Debt,Low-Rate Saver (<25% in savings),Yes,No,0.43,0.12,0.08,0.12
223650,92438,24368,43524,54477,214807,Not in Debt,Low-Rate Saver (<25% in savings),No,No,0.41,0.11,0.12,0.11
487641,269724,46395,145596,25926,487641,Not in Debt,Zero-Balance Living,No,No,0.43,0.12,0.18,0.05
410843,204060,57373,87648,4787,353868,Not in Debt,Low-Rate Saver (<25% in savings),Yes,No,0.43,0.14,0.13,0.05
97909,31507,10267,15357,7994,65125,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.32,0.1,0.15,0.08
432568,306825,91947,127357,73446,599575,In Debt,Deficit Living,No,No,0.43,0.17,0.08,0.12
80026,51857,14823,25195,0,86842,In Debt,Deficit Living,No,No,0.53,0.14,0.13,0.05
167994,80592,23934,45630,40107,190263,In Debt,Deficit Living,No,No,0.48,0.14,0.09,0.11
400327,142770,59426,86332,48515,337043,Not in Debt,Low-Rate Saver (<25% in savings),Yes,No,0.36,0.15,0.12,0.12
493721,294230,93087,77694,28710,493721,Not in Debt,Zero-Balance Living,No,Yes,0.43,0.17,0.14,0.06
147968,71572,21042,20720,34634,147968,In Debt,Zero-Balance Living,No,Yes,0.48,0.14,0.1,0.1
180943,35878,10391,12034,17054,75357,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.2,0.1,0.08,0.09
244158,65035,19470,22005,34244,140754,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.27,0.1,0.09,0.11
332471,73132,16558,49493,39651,178834,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.22,0.12,0.15,0.12
68870,55054,17415,24163,619,97251,In Debt,Deficit Living,No,No,0.58,0.12,0.1,0.05
14366,7794,1152,2451,2969,14366,Not in Debt,Zero-Balance Living,No,No,0.54,0.08,0.12,0.07
362112,208166,47944,125626,59015,440751,In Debt,Deficit Living,No,No,0.43,0.13,0.12,0.12
416986,322885,39796,55053,123441,541175,In Debt,Deficit Living,No,No,0.43,0.12,0.13,0.12
87309,30121,4873,14702,6600,56296,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.34,0.09,0.15,0.08
167419,68890,11354,17023,31804,129071,In Debt,Low-Rate Saver (<25% in savings),Yes,No,0.41,0.1,0.1,0.11
88342,45100,4549,15374,23319,88342,In Debt,Zero-Balance Living,No,No,0.51,0.09,0.12,0.1
173580,102415,19982,44370,6813,173580,Not in Debt,Zero-Balance Living,No,No,0.48,0.12,0.17,0.05
390544,215975,53897,54479,66193,390544,Not in Debt,Zero-Balance Living,No,No,0.43,0.14,0.11,0.12
209897,47733,9800,26316,4737,88586,In Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.23,0.1,0.13,0.05
185444,49261,17225,15495,18679,100660,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.27,0.1,0.08,0.1
263952,92470,25233,43626,56191,217520,Not in Debt,Low-Rate Saver (<25% in savings),Yes,No,0.35,0.1,0.17,0.11
210724,94128,17413,52663,21652,185856,Not in Debt,Low-Rate Saver (<25% in savings),Yes,No,0.45,0.1,0.1,0.1
259376,110995,46269,66359,35753,259376,Not in Debt,Zero-Balance Living,No,No,0.43,0.15,0.13,0.11
376596,184373,43776,82592,73695,384436,In Debt,Deficit Living,No,No,0.43,0.12,0.13,0.12
363422,90176,14142,24028,84841,213187,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.25,0.12,0.08,0.12
352277,108513,45495,49943,35153,239104,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.31,0.13,0.14,0.1
272065,155678,50368,52771,13248,272065,Not in Debt,Zero-Balance Living,No,No,0.48,0.15,0.14,0.05
246832,146608,28966,39885,31373,246832,In Debt,Zero-Balance Living,No,No,0.48,0.12,0.11,0.11
493622,135169,46040,80635,21830,283674,In Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.27,0.12,0.16,0.05
103351,49180,12222,23158,16055,100615,Not in Debt,Low-Rate Saver (<25% in savings),No,No,0.48,0.12,0.08,0.07
350746,269283,52529,135393,45241,502446,In Debt,Deficit Living,No,No,0.43,0.15,0.1,0.12
437194,203932,68035,110542,54685,437194,Not in Debt,Zero-Balance Living,No,No,0.43,0.16,0.09,0.12
68591,29656,11244,11965,15726,68591,Not in Debt,Zero-Balance Living,No,No,0.43,0.12,0.13,0.08
64198,32930,3643,7432,20193,64198,Not in Debt,Zero-Balance Living,No,No,0.51,0.07,0.12,0.08
423959,192928,60560,63328,161265,478081,In Debt,Deficit Living,No,No,0.43,0.14,0.11,0.12
269643,117414,31233,32388,88608,269643,Not in Debt,Zero-Balance Living,No,No,0.44,0.12,0.12,0.11
152471,124022,24331,26877,41352,216582,In Debt,Deficit Living,No,No,0.48,0.15,0.08,0.11
477423,90107,15036,36631,58166,199940,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.19,0.12,0.08,0.12
130201,76959,30576,49769,11645,168949,In Debt,Deficit Living,No,No,0.53,0.14,0.09,0.09
365311,91206,29599,39991,50843,211639,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.25,0.12,0.11,0.12
469963,352985,68796,75802,109165,606748,In Debt,Deficit Living,No,No,0.43,0.15,0.1,0.12
92021,18470,3305,6733,10425,38933,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.2,0.09,0.08,0.1
44825,13422,1547,6929,2894,24792,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.3,0.07,0.13,0.06
373828,202693,59060,83706,28369,373828,Not in Debt,Zero-Balance Living,No,No,0.43,0.16,0.13,0.08
160083,37597,12685,18902,20197,89381,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.23,0.1,0.12,0.11
56386,34490,12138,17733,5485,69846,In Debt,Deficit Living,No,No,0.58,0.12,0.08,0.07
137346,112450,28333,24478,25427,190688,In Debt,Deficit Living,No,Yes,0.53,0.14,0.08,0.1
153321,72204,24642,43018,13457,153321,Not in Debt,Zero-Balance Living,No,No,0.47,0.15,0.11,0.09
148566,118786,24413,41987,18326,203512,In Debt,Deficit Living,No,No,0.53,0.14,0.08,0.1
360304,114790,42154,64427,58367,279738,In Debt,Low-Rate Saver (<25% in savings),Yes,No,0.32,0.12,0.18,0.12
430629,184162,23023,76514,48591,332290,Not in Debt,Low-Rate Saver (<25% in savings),Yes,No,0.43,0.12,0.09,0.11
195134,84426,23582,35095,52031,195134,Not in Debt,Zero-Balance Living,No,No,0.43,0.12,0.16,0.11
19437,11622,1540,4407,9422,26991,In Debt,Deficit Living,No,No,0.6,0.08,0.1,0.07
469568,103828,39478,76350,36740,256396,In Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.22,0.12,0.16,0.08
297976,81928,24953,21831,55406,184118,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.27,0.1,0.08,0.11
111663,77316,19999,32423,23358,153096,In Debt,Deficit Living,No,No,0.53,0.14,0.08,0.1
470419,205024,38046,66391,127007,436468,Not in Debt,Low-Rate Saver (<25% in savings),No,No,0.43,0.12,0.08,0.12
279840,147556,49863,54668,89640,341727,In Debt,Deficit Living,No,No,0.48,0.15,0.08,0.11
412036,172464,20214,76074,46356,315108,In Debt,Low-Rate Saver (<25% in savings),Yes,No,0.42,0.12,0.1,0.11
450876,84289,16733,43290,55227,199539,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.19,0.12,0.1,0.12
209344,62454,7305,16361,20761,106881,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.3,0.1,0.08,0.1
176278,76727,9615,29805,75374,191521,In Debt,Deficit Living,No,No,0.44,0.1,0.17,0.11
226802,121222,18197,27552,42980,209951,Not in Debt,Low-Rate Saver (<25% in savings),No,No,0.48,0.1,0.08,0.09
379585,172863,44883,86699,52098,356543,In Debt,Low-Rate Saver (<25% in savings),No,No,0.43,0.12,0.08,0.12
174775,100810,30581,55875,15621,202887,In Debt,Deficit Living,No,No,0.48,0.15,0.1,0.09
86708,57720,17513,30189,0,104060,In Debt,Deficit Living,No,No,0.53,0.14,0.13,0.05
303872,172287,16286,47462,67837,303872,Not in Debt,Zero-Balance Living,No,No,0.43,0.12,0.13,0.12
317629,229856,74116,82719,9769,396460,In Debt,Deficit Living,No,No,0.43,0.17,0.15,0.05
202220,59137,17766,22693,40175,139771,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.29,0.1,0.11,0.11
492501,259026,94938,161572,89443,604979,In Debt,Deficit Living,No,No,0.43,0.17,0.08,0.12
331935,214850,40864,69759,65550,391023,In Debt,Deficit Living,No,No,0.43,0.12,0.13,0.12
390295,201360,24313,81065,83557,390295,In Debt,Zero-Balance Living,No,No,0.43,0.12,0.13,0.12
449363,274377,34749,115755,193865,618746,In Debt,Deficit Living,No,No,0.43,0.12,0.13,0.12
488830,269457,32755,56089,145782,504083,In Debt,Deficit Living,No,No,0.43,0.12,0.11,0.12
361260,156765,68108,56970,79417,361260,Not in Debt,Zero-Balance Living,No,Yes,0.43,0.17,0.08,0.12
425200,289652,72575,76901,78278,517406,In Debt,Deficit Living,No,No,0.43,0.17,0.08,0.12
182420,48309,18751,21841,27503,116404,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.26,0.1,0.12,0.11
321187,183695,33937,65905,67003,350540,In Debt,Deficit Living,No,No,0.43,0.12,0.13,0.12
60374,13761,2654,6942,2667,26024,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.23,0.07,0.11,0.05
36418,25357,8406,12738,3082,49583,In Debt,Deficit Living,No,No,0.58,0.12,0.08,0.07
412863,273657,69957,67024,63412,474050,In Debt,Deficit Living,No,Yes,0.43,0.17,0.08,0.12
436062,303563,31832,111998,75023,522416,In Debt,Deficit Living,No,No,0.43,0.12,0.13,0.12
244474,55666,20700,22478,32964,131808,In Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.23,0.1,0.09,0.11
479598,147290,28735,56864,50308,283197,In Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.31,0.12,0.12,0.1
475026,261683,37217,105627,70499,475026,Not in Debt,Zero-Balance Living,No,No,0.43,0.12,0.13,0.12
340799,108728,21178,48093,39673,217672,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.32,0.12,0.14,0.12
159278,66864,13096,28676,26970,135606,Not in Debt,Low-Rate Saver (<25% in savings),Yes,No,0.42,0.1,0.12,0.11
296411,142766,45157,24731,32132,244786,Not in Debt,Low-Rate Saver (<25% in savings),Yes,Yes,0.48,0.14,0.08,0.05
369619,206366,81598,113378,71282,472624,In Debt,Deficit Living,No,No,0.43,0.17,0.08,0.12
29564,16902,3891,8021,750,29564,Not in Debt,Zero-Balance Living,No,No,0.57,0.09,0.11,0.05
162599,97782,40907,57460,29502,225651,In Debt,Deficit Living,No,No,0.48,0.15,0.08,0.11
188905,89241,22234,40482,36948,188905,Not in Debt,Zero-Balance Living,No,No,0.47,0.12,0.12,0.11
208904,40622,13845,15624,19895,89986,In Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.19,0.1,0.08,0.1
496794,185163,61659,63443,28767,339032,In Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.37,0.12,0.13,0.06
77232,17093,6844,5468,6834,36239,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.22,0.09,0.08,0.09
262295,125936,19840,54976,19296,220048,Not in Debt,Low-Rate Saver (<25% in savings),Yes,No,0.48,0.1,0.1,0.07
242821,112903,45370,57258,53778,269309,In Debt,Deficit Living,No,No,0.46,0.15,0.1,0.11
219158,49261,10138,25938,17752,103089,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.22,0.1,0.12,0.08
361552,193206,35142,44662,88542,361552,Not in Debt,Zero-Balance Living,No,No,0.43,0.12,0.12,0.12
210892,112496,19162,62156,52700,246514,In Debt,Deficit Living,No,No,0.48,0.1,0.13,0.11
398052,285389,34645,148892,104012,572938,In Debt,Deficit Living,No,No,0.43,0.12,0.13,0.12
266875,71825,18777,39997,17832,148431,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.27,0.1,0.15,0.07
198430,107472,22900,67748,54068,252188,In Debt,Deficit Living,No,No,0.48,0.12,0.11,0.11
44737,13867,2621,8315,4387,29190,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.31,0.07,0.13,0.08
83337,38817,12156,21317,9162,81452,Not in Debt,Low-Rate Saver (<25% in savings),No,No,0.47,0.14,0.08,0.06
409900,215617,67005,92100,35178,409900,In Debt,Zero-Balance Living,No,No,0.43,0.16,0.12,0.09
492169,203974,58111,111503,35489,409077,Not in Debt,Low-Rate Saver (<25% in savings),Yes,No,0.41,0.12,0.15,0.07
382857,196025,44578,59133,43045,342781,In Debt,Low-Rate Saver (<25% in savings),Yes,No,0.43,0.12,0.09,0.11
25132,11808,1939,6517,4868,25132,Not in Debt,Zero-Balance Living,No,No,0.47,0.08,0.12,0.07
318381,148954,38477,81849,49101,318381,In Debt,Zero-Balance Living,No,No,0.43,0.12,0.13,0.12
313317,175777,25828,62650,49062,313317,In Debt,Zero-Balance Living,No,No,0.43,0.12,0.13,0.12
372010,188306,71159,37677,74868,372010,Not in Debt,Zero-Balance Living,No,Yes,0.43,0.17,0.08,0.12
49475,24742,9894,10208,15759,60603,In Debt,Deficit Living,No,No,0.5,0.12,0.13,0.08
211832,82224,12561,50518,31765,177068,Not in Debt,Low-Rate Saver (<25% in savings),Yes,No,0.39,0.1,0.15,0.11
325255,166439,52547,50095,56174,325255,Not in Debt,Zero-Balance Living,No,Yes,0.43,0.16,0.09,0.12
230387,101186,11410,20053,61028,193677,Not in Debt,Low-Rate Saver (<25% in savings),Yes,No,0.44,0.1,0.09,0.11
172897,64977,16084,18120,47451,146632,In Debt,Low-Rate Saver (<25% in savings),Yes,No,0.38,0.1,0.1,0.11
257245,71341,20943,50257,26008,168549,Not in Debt,High-Rate Saver (>=25% in savings),Yes,Yes,0.28,0.1,0.17,0.1
75392,46408,12731,9934,18974,88047,In Debt,Deficit Living,No,Yes,0.53,0.14,0.08,0.1
452082,259551,82544,129030,0,452082,In Debt,Zero-Balance Living,No,No,0.43,0.17,0.15,0.05
320407,240865,66660,97194,26058,430777,In Debt,Deficit Living,No,No,0.43,0.17,0.12,0.08
238567,112673,18362,46040,61492,238567,Not in Debt,Zero-Balance Living,No,No,0.47,0.1,0.14,0.11
